,source_language,split,target_language
6088,"i 'm going to go buy a ticket , so please watch my bags for a minute .",test,"je vais aller acheter un ticket , alors merci de surveiller mes sacs une minute ."
6089,i 'm fed up with him .,test,j'en ai marre de lui .
6090,i 'm good at playing the piano .,test,jouer du piano est mon point fort .
6091,i 'm actually kind of flattered .,test,je suis en fait plutôt flatté .
6092,i 'm from tokyo .,test,je viens de tokyo .
6093,i 'm in no hurry .,test,je ne suis pas pressé .
6094,i 'm serious about my job .,test,je prends mon travail au sérieux .
6095,i 'm glad to see you back .,test,je suis content de te revoir .
6096,i 'm catching on .,test,je comprends .
6097,i 'm really happy .,test,je suis vraiment contente .
6098,i 'm your brother .,test,je suis ton frère .
6099,i 'm more than a friend .,test,je suis plus qu'une amie .
6100,i 'm from the city .,test,je viens de la ville .
6101,i 'm here if you need anything .,test,"je suis là , si vous avez besoin de quoi que ce soit ."
6102,i 'm still hungry .,test,j'ai encore faim .
6103,i 'm crazy about football .,test,je suis dingue de football .
6104,i 'm not from around here .,test,je ne suis pas du coin .
6105,"i 'm sorry , but i ca n't help you .",test,je suis désolée mais je ne peux pas vous aider .
6106,i 'm not the only one who wants to go .,test,je ne suis pas le seul à vouloir y aller .
6107,i 'm from england .,test,je viens d'angleterre .
6108,i 'm ready if you are .,test,je suis prêt si tu l'es .
6109,i 'm cold . may i close the window ?,test,j'ai froid . puis-je fermer la fenêtre ?
6110,i 'm not sure if that 'll help .,test,je ne suis pas sûr que ça va aider .
6111,i 'm sorry for not being more supportive .,test,je suis désolé de ne pas la soutenir davantage .
6112,i 'm tired of your complaints .,test,je suis fatigué par vos plaintes .
6113,i 'm open to suggestions .,test,je suis ouvert aux suggestions .
6114,i 'm delighted to meet you .,test,je suis enchanté de vous rencontrer .
6115,i 'm always happy .,test,je suis toujours heureux .
6116,i 'm free !,test,je suis libre !
6117,i 'm psychic .,test,je suis voyante .
6118,i 'm older than your brother .,test,je suis plus vieux que ton frère .
6119,i 'm hung over .,test,j'ai mal au cœur .
6120,i 'm the one who brought the subject up .,test,c'est moi qui ai introduit le sujet .
6121,i 'm not old enough .,test,je ne suis pas assez vieux .
6122,i 'm going to hurt you .,test,je vais te blesser .
6123,i 'm going to ask you to do your duty .,test,je vais te demander de faire ton devoir .
6124,i 'm glad i left boston .,test,je suis content d'être parti de boston .
6125,i 'm a student .,test,je suis étudiant .
6126,i 'm lucky .,test,je suis veinarde .
6127,i 'm thirsty .,test,j'ai soif .
6128,"i 'm sorry , but i do n't have any small change .",test,je suis désolée mais je n'ai pas la moindre petite monnaie .
6129,i 'm not saying that we ca n't win . i 'm just saying it 's not likely .,test,je ne dis pas que nous ne pouvons pas l'emporter . je dis simplement que ce n'est pas probable .
6130,i 'm kind of busy tonight .,test,"je suis plutôt occupé , ce soir ."
6131,i 'm very busy this week .,test,je suis très occupé cette semaine .
6132,i 'm a housewife .,test,je suis femme au foyer .
6133,i 'm looking for your sister . where is she ?,test,je cherche après ta sœur . où est-elle ?
6134,i 'm not hungry anyway .,test,"je n'ai pas faim , de toutes manières ."
6135,"i 'm sorry , i did n't recognize you .",test,"je suis désolée , je ne t'ai pas reconnue ."
6136,i 'm not home on sundays .,test,je ne suis pas à la maison les dimanches .
6137,i 'm not learning anything .,test,je n'apprends rien .
6138,i 'm not trying to say anything .,test,je n'essaie pas de dire quoi que ce soit .
6139,i 'm claustrophobic .,test,je suis claustrophobe .
6140,i 'm doing this for him .,test,je le fais pour lui .
6141,i 'm not going to do that unless you help me .,test,"je ne vais pas le faire , à moins que tu m'aides ."
6142,i 'm not going to stay if you do n't want me to .,test,je ne vais pas rester si tu ne le veux pas .
6143,i 'm getting a bad feeling .,test,j'ai une mauvaise impression .
6144,"i 'm so happy for you , tom .",test,"je suis si heureux pour vous , tom ."
6145,i 'm glad that makes you happy .,test,je suis contente que ça te rende heureuse .
6146,i 'm not sure i can trust you .,test,je ne suis pas sûr de pouvoir me fier à toi .
6147,i 'm bored and do n't know what to do .,test,j'en ai assez et ne sais quoi faire .
6148,i 'm sorry about last night .,test,je suis désolé à propos de hier soir .
6149,i 'm too old for you .,test,je suis trop vieille pour vous .
6150,"i 'm really busy , tom .",test,"je suis très occupé , tom ."
6151,i 'm feeling better .,test,je vais mieux .
6152,i 'm afraid of spiders .,test,j'ai peur des araignées .
6153,"i 'm sorry , my father is out .",test,"je suis désolé , mon père est éliminé ."
6154,"i 'm 17 , too .",test,j'ai également dix-sept ans .
6155,i 'm going to take some pictures .,test,je vais prendre quelques photos .
6156,i 'm too tired to ride my bicycle back home .,test,je suis trop fatigué pour rentrer chez moi en vélo .
6157,i 'm always moody .,test,je suis toujours de mauvaise humeur .
6158,i 'm invited to tom 's party tonight .,test,je suis invitée à la fête de tom ce soir .
6159,i 'm sorry if i snapped at you .,test,je suis désolé de m'en être pris à toi .
6160,i 'm 24 years old .,test,j'ai 24 ans .
6161,i 'm looking forward to seeing you .,test,j'ai hâte de vous voir .
6162,i 'm being harassed .,test,je me fais harceler .
6163,i 'm not your enemy .,test,je ne suis pas votre ennemie .
6164,i 'm out of place here .,test,"je ne suis pas à ma place , ici ."
6165,i 'm not sure what i want to do .,test,je ne suis pas sûr de ce que je veux faire .
6166,i 'm glad to see you again .,test,je suis content de vous revoir .
6167,i 'm going to jump .,test,je vais sauter .
6168,i 'm worried about them .,test,je me fais du souci pour eux .
6169,"i 'm not sure what it was , but it sounded like a gunshot .",test,"je ne suis pas sûre de ce dont il s'agissait , mais ça a fait le bruit d'une détonation ."
6170,i 'm not your servant .,test,je ne suis pas ta servante .
6171,i 'm stubborn .,test,je suis obstinée .
6172,i 'm sure we all agree .,test,je suis sûre que nous sommes toutes d'accord .
6173,i 'm willing to help you if you want me to .,test,"je suis prêt à vous aider , si vous voulez que je le fasse ."
6174,i 'm not your husband anymore .,test,je ne suis plus votre mari .
6175,i 'm not good-looking .,test,je ne suis pas beau .
6176,i 'm sorry about last night .,test,je suis désolée à propos de cette nuit .
6177,i 'm still waiting for your answer .,test,j'attends toujours votre réponse .
6178,i 'm going to join a demonstration .,test,je vais rejoindre une manifestation .
6179,i 'm afraid you have the wrong number .,test,je crains que vous n'ayez le mauvais numéro .
6180,i 'm retired .,test,je suis retraitée .
6181,i 'm in trouble now .,test,"désormais , j'ai des ennuis ."
6182,i 'm resilient .,test,je suis tenace .
6183,i 'm familiar with the situation .,test,je suis habituée à la situation .
6184,i 'm not comparing tom to mary .,test,je ne compare pas tom à mary .
6185,i 'm hungry .,test,j'ai faim !
6186,i 'm very proud of our students .,test,je suis très fier de nos étudiants .
6187,i 'm tired of boston .,test,je suis las de boston .
6188,i 'm married now .,test,je suis marié maintenant .
6189,i 'm going to have to cancel my appointment .,test,je vais devoir annuler mon rendez-vous .
6190,i 'm really happy .,test,je suis vraiment heureuse .
6191,i 'm at a loss about what to do with the mess .,test,je ne sais que faire avec ce désordre .
6192,i 'm sure that i 'll miss her a lot .,test,je suis sûre qu'elle va beaucoup me manquer .
6193,i 'm training for the triathlon .,test,je m'entraîne pour le triathlon .
6194,i 'm going to australia .,test,je vais en australie .
6195,i 'm sorry . i did n't mean to make you cry .,test,je suis désolée . je ne voulais pas vous faire pleurer .
6196,i 'm sure that he 'll come on time .,test,je suis persuadé qu'il viendra à temps .
6197,i 'm not a drug addict .,test,je ne suis pas un toxico .
6198,i 'm glad you were n't injured .,test,je me réjouis que tu n'aies pas été blessé .
6199,i 'm lucky to have you as a friend .,test,je suis chanceuse de vous avoir pour amie .
6200,i 'm a quick learner .,test,j'apprends vite .
6201,i 'm pretty sure tom 's competent .,test,je suis assez sûr que tom est compétent .
6202,i 'm playing a tv game .,test,je joue à un jeu sur console .
6203,i 'm sorry for being late .,test,je suis désolée d'être en retard .
6204,i 'm studying french and web design .,test,je suis en train d'étudier le français et le web design .
6205,i 'm sorry i dragged you into this .,test,je suis désolée de t'avoir entraîné là-dedans .
6206,i 'm not sure i follow what you 're saying .,test,je ne suis pas sûre de suivre ce que tu dis .
6207,i 'm not going .,test,je ne m'en vais pas .
6208,i 'm really surprised you got a prize .,test,je suis vraiment surpris que vous ayez obtenu un prix .
6209,i 'm not like the rest of these guys .,test,je ne suis pas comme le reste de ces types .
6210,i 'm sorry for the pain i caused you and your family .,test,"je suis désolé pour la douleur que je vous ai causée , à vous et à votre famille ."
6211,i 'm going to figure this out .,test,je vais déchiffrer ça .
6212,i 'm not paid to do that .,test,je ne suis pas payé pour faire cela .
6213,i 'm not leaving you .,test,je ne te quitte pas .
6214,i 'm not a genius .,test,je ne suis pas un génie .
6215,i 'm rarely this angry .,test,je suis rarement autant en colère .
6216,i 'm much younger than you .,test,je suis beaucoup plus jeune que toi .
6217,i 'm very happy to be back home .,test,je suis très heureux d'être de retour à la maison .
6218,i 'm about the same age as you .,test,j'ai environ le même âge que toi .
6219,i 'm going to sit on the bench over there next to the street lamp .,test,"je vais m'asseoir sur le banc là-bas , près du lampadaire ."
6220,i 'm sick of hearing it .,test,j'en ai marre de l'entendre .
6221,i 'm in love with a wonderful girl .,test,je suis amoureux d'une fille géniale .
6222,i 'm being promoted .,test,on m'a promu .
6223,i 'm pretty sure i 'm going to need some help .,test,je suis presque sûr que je vais avoir besoin d'aide .
6224,i 'm leaving it to you .,test,je vous laisse ça .
6225,i 'm really flattered to hear that .,test,je suis très flatté d'entendre cela .
6226,i 'm not in the mood .,test,je ne suis pas d'humeur .
6227,i 'm sure tom had a good reason .,test,je suis sûre que tom avait une bonne raison .
6228,i 'm so confused .,test,je suis tellement confus !
6229,i 'm staying .,test,je reste .
6230,i 'm trying to talk to you .,test,je tente de te parler .
6231,i 'm going to tell you a secret .,test,je vais vous dire un secret .
6232,i 'm not carrying any identification .,test,je ne porte aucune pièce d'identité .
6233,i 'm vegetarian .,test,je suis végétarienne .
6234,i 'm still not sure .,test,je ne suis toujours pas sûr .
6235,i 'm not really busy .,test,je ne suis pas vraiment occupé .
6236,i 'm sorry to have bothered you .,test,je suis désolé de vous avoir dérangé !
6237,"i 'm sorry , i did n't hear you .",test,"je suis désolée , je ne vous ai pas entendu ."
6238,i 'm strong enough .,test,je suis suffisamment fort .
6239,i 'm giving my old books away .,test,je donne mes vieux livres .
6240,i 'm your partner .,test,je suis ton partenaire .
6241,i 'm retired .,test,je suis retraité .
6242,i 'm running out of energy .,test,je suis à court d'énergie .
6243,i 'm not sure i can trust you .,test,je ne suis pas sûr que je puisse me fier à vous .
6244,i 'm broke .,test,je suis fauché .
6245,"i 'm sorry , i do n't mean to pry .",test,"je suis désolé , je ne veux pas m'immiscer ."
6246,i 'm surprised to see you .,test,je suis étonnée de te voir .
6247,i 'm not bragging .,test,je ne frime pas .
6248,i 'm sorry i hurt you .,test,je suis désolé de t'avoir blessée .
6249,"i 'm begging you , before freaking out on me listen to the end of what i have to say .",test,"je t'en supplie , écoute ce que j'ai à te dire jusqu'au bout avant de piquer une crise sur moi ."
6250,"i 'm sorry , there 's nothing i can do .",test,désolée . je ne peux rien y faire .
6251,i 'm a few minutes late .,test,je suis en retard de quelques minutes .
6252,i 'm sorry . i 'm a stranger around here .,test,je suis désolé . je ne suis pas d'ici .
6253,i 'm sure that 's wrong .,test,je suis sûre que c'est faux .
6254,i 'm ready for tomorrow .,test,je suis prête pour demain .
6255,i 'm sure we can work this out .,test,je suis sûre que nous pouvons résoudre cela .
6256,i 'm flabby .,test,je suis flasque .
6257,i 'm sorry to be so late . the meeting completely slipped my mind .,test,je suis désolée d'être tellement en retard . j'avais complètement oublié le rendez-vous .
6258,i 'm here as a tourist .,test,je suis ici en tant que touriste .
6259,"i 'm sorry , i did n't recognize you .",test,"je suis désolé , je ne t'ai pas reconnue ."
6260,i 'm not in that much of a hurry .,test,il n'y a pas le feu au lac .
6261,i 'm glad you met tom .,test,je suis heureuse que tu aies rencontré tom .
6262,i 'm used to being ignored by my parents .,test,je suis habitué à être ignorée de mes parents .
6263,i 'm glad to see you here .,test,je suis contente de vous voir ici .
